run_id,requested_at_utc,request_type,category,asin,requested_url,final_url,http_status,elapsed_ms,response_bytes,redirected,result,error
20260625T121430Z,2026-06-25T12:14:30.026792+00:00,search_discovery,Grocery,,https://www.amazon.com/s?k=snack+bars,https://www.amazon.com/s?k=snack+bars,200,310,2248,False,reachable,
20260625T121430Z,2026-06-25T12:14:45.368139+00:00,search_discovery,Grocery,,https://www.amazon.com/s?k=protein+shake,https://www.amazon.com/s?k=protein+shake,200,46,2259,False,reachable,
20260625T121430Z,2026-06-25T12:15:00.415966+00:00,search_discovery,Grocery,,https://www.amazon.com/s?k=coffee+beans,https://www.amazon.com/s?k=coffee+beans,200,165,2257,False,reachable,
20260625T121430Z,2026-06-25T12:15:15.584515+00:00,search_discovery,Electronics,,https://www.amazon.com/s?k=bluetooth+headphones,https://www.amazon.com/s?k=bluetooth+headphones,200,59,2287,False,reachable,
20260625T121430Z,2026-06-25T12:15:30.647372+00:00,search_discovery,Electronics,,https://www.amazon.com/s?k=usb+c+charger,https://www.amazon.com/s?k=usb+c+charger,200,47,2266,False,reachable,
20260625T121430Z,2026-06-25T12:15:45.697192+00:00,search_discovery,Electronics,,https://www.amazon.com/s?k=wireless+mouse,https://www.amazon.com/s?k=wireless+mouse,200,60,2265,False,reachable,
20260625T121430Z,2026-06-25T12:16:00.761040+00:00,search_discovery,Beauty,,https://www.amazon.com/s?k=hair+dryer,https://www.amazon.com/s?k=hair+dryer,200,153,2247,False,reachable,
20260625T121430Z,2026-06-25T12:16:15.918082+00:00,search_discovery,Beauty,,https://www.amazon.com/s?k=shampoo,https://www.amazon.com/s?k=shampoo,200,92,2234,False,reachable,
20260625T121430Z,2026-06-25T12:16:31.014424+00:00,search_discovery,Beauty,,https://www.amazon.com/s?k=face+moisturizer,https://www.amazon.com/s?k=face+moisturizer,200,59,2270,False,reachable,
20260625T121430Z,2026-06-25T12:16:46.076977+00:00,search_discovery,Home,,https://www.amazon.com/s?k=vacuum+storage+bags,https://www.amazon.com/s?k=vacuum+storage+bags,200,404,2287,False,reachable,
20260625T121430Z,2026-06-25T12:17:01.484037+00:00,search_discovery,Home,,https://www.amazon.com/s?k=storage+organizer,https://www.amazon.com/s?k=storage+organizer,200,48,2276,False,reachable,
20260625T121430Z,2026-06-25T12:17:16.533938+00:00,search_discovery,Home,,https://www.amazon.com/s?k=kitchen+scale,https://www.amazon.com/s?k=kitchen+scale,200,50,2259,False,reachable,
20260625T121430Z,2026-06-25T12:17:31.587020+00:00,search_discovery,Office,,https://www.amazon.com/s?k=notebook,https://www.amazon.com/s?k=notebook,200,56,2236,False,reachable,
20260625T121430Z,2026-06-25T12:17:46.646955+00:00,search_discovery,Office,,https://www.amazon.com/s?k=desk+organizer,https://www.amazon.com/s?k=desk+organizer,200,60,2265,False,reachable,
20260625T121430Z,2026-06-25T12:18:01.710694+00:00,search_discovery,Office,,https://www.amazon.com/s?k=office+chair+mat,https://www.amazon.com/s?k=office+chair+mat,200,51,2277,False,reachable,
